,Cost,Date-range,Time,Title,Venue,event_text
0,Cost: Free Entrance,14 February 2018 to 14 April 2018,Time: Mon to Fri 9am to 6pm | Sat 10am to 2pm,Extra Ordinary: Southern Guild,"Guild, Shop 5B, Silo 5, V&A Waterfront, Cape Town","Southern Guild presents a multidisciplinary group exhibition in celebration of its tenth anniversary. The gallery is known for pioneering collectable design in South Africa and has invited a selection of makers to produce exploratory new design work that crosses over into other disciplines, materials and technologies.
Exhibitors include fashion designer Rich Mnisi, ceramic artists Zizipho Poswa and Madoda Fani, sculptors Daniella Mooney and Stanislaw Trzebinski, and newcomers such as 3D illustrator Ferdi B. Dick. Julian McGowan, co-founder of The Guild Group, has provided mentorship and guidance to each designer during the process of creating work for the exhibition and the result is an innovative selection of furniture, lighting, sculpture, jewellery and more.
‘Heavy Metal remains a challenging exhibition. Exploratory design propels the commonplace into the realms of the conceptually complex. At its best, the work at the Foundry is a salient reminder of the astonishing qualities that saturate both raw materials and elements of utility.’ Read Alice Meyer’s review of a previous exhibition at Southern Guild.
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
1,,29 March 2018 to 4 April 2018,,KKNK Afrikaans Arts Festival 2018,"Oudtshoorn, Western Cape","
Annual Afrikaans arts festival which takes place at various venues in Oudtshoorn in the Western Cape."
2,R89 – R175,31 October 2017 to 27 April 2018,Time: 6pm | Sat 5pm | Sun 4pm,The Galileo Open Air Cinema,Various,"The Galileo Open Air Cinema is back again with a variety of movie favourites under a ceiling of stars in some of Cape Town’s most popular venues.
This year’s line-up includes old classics and new favourites, such as Grease, Dirty Dancing, Pretty Woman, Titanic, Finding Dory, Moana, Deadpool, Beauty and The Beast (2017) and more. Before the film begins at sunsets, a festive mini-market serves food, soft drinks, alcoholic beverages, coffee and popcorn.
See full line-up here.
Open Air Venues:
Tuesdays: Bloemendal Wine Estate, Durbanville
Wednesdays: Kirstenbosch Gardens, Newlands
Thursdays: V&A Waterfront, Foreshore
Fridays: Various rotating venues, Cape Town
Select Saturdays: Various wine estates, Cape Winelands
Select family Sundays: Kelvin Grove Club, Newlands

 
 
Tel: 071 471 8728
Email: hello@thegalileo.co.za
Website: thegalileo.co.za
Facebook: GalileoCinema
Twitter: Galileo_Cinema
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
SEE WHAT ELSE IS ON IN CAPE TOWN NORTH
 SEE WHAT ELSE IS ON IN THE CAPE WINELANDS & BEYOND

 "
3,,2 to 28 April 2018,,"Aunty Merle, The Musical",,"The Baxter Theatre presents local comedian Marc Lottering’s new musical-comedy show, Aunty Merle, The Musical. This performance, written by Lottering and musical direction by Alistair Izobell, focuses on the comedian’s “most beloved character” Aunty Merle Abrahams from Belgravia Road in Athlone.
High drama unfolds as Merle’s daughter Abigail (Tarryn Lamb) announces her engagement to Alan (Stephen Jubber) – a “good-looking white chap”. Abigail’s twisted and corrupt ex, Denver Paulse (Loukmaan Adams), who holds a dodgy top job with the SABC, is determined to get her back. If not, he threatens to reveal a very dark secret which is bound to tear the lovers apart.
Age Restriction: PG14
“Anyone who might be hesitant at the thought of a stand-up comic taking part in a full-length musical are sure to be pleasantly surprised by what they see on stage.” Read Kirsten Delcie’s review of Aunty Merle, The Musical.
 Venue: Baxter Theatre, Main Rd, Rondebosch, Cape Town
Time: 7.30pm | Sat again at 2pm
Cost: R100 – R195

 
 
Tel: 021 685 7880
Website: www.baxter.co.za
Facebook: baxtertheatre
Twitter: BaxterTheatre
 "
4,R155 – R285 (bookings via phone),11 December 2017 to 30 April 2018,12pm onwards,Garden Picnics at The Cellars-Hohenort,"The Cellars-Hohenort Hotel, 93 Brommersvlei Rd, Constantia, Cape Town","The Cellars-Hohenort 5-star hotel offers a selection of garden picnics to be enjoyed by both guests and non-resident visitors.
Ideal as a lunch choice for romantic twosomes, a family, or a party of friends, these ready-packed picnic hampers (baskets are purchased from the Cape Town Society for the Blind) are the perfect al fresco option for those looking to savour the peace and tranquility of the hotel’s award-winning grounds, picturesque surrounds and fresh fare.
The hotel offers 3 menus that can be booked in advance. Baskets include picnic treats such as artisanal house salads, a selection of tapas and homebaked treats.
Menu 1: Selection of two tapas, fresh homemade baked ciabatta with farm butter, roasted chicken quarters, artisan house salads, carrot cake and cream cheese, and water or fresh-pressed juice.
Menu 2: Selection of three tapas, fresh homemade baked ciabatta with farm butter, artisan house salads in a jar with vinaigrette, roasted chicken quarters, local artisan cheese board with preserves and lavash, scones with strawberry jam and whipped cream, and water or fresh-pressed juice.
Menu 3: Selection of four tapas, fresh homemade baked ciabatta with farm butter, artisan house salads, roasted chicken quarters, local artisan cheese board with preserves and lavash, local handcrafted cold meats and pickled mustard, biltong and nuts, Pastry Chef’s dessert of the day, and water or fresh-pressed juice.
Guests can add an additional treat of a bottle of champagne and fresh strawberries to their basket.
Tel: 021 794 2137
Email: fbmanager@cellars-hohenort.co.za
Website: www.thecellars-hohenorthotel.com
Facebook: TheCellarsHohenort
Twitter: McGrathHotels
 
 "
5,R70 – R95,14 February 2018 to 28 April 2018,Time: 6pm,Outdoor Movie Nights at Spier,"Spier Wine Farm, R310, Stellenbosch","Spier hosts a series of outdoor movie nights, where guests enjoy a picnic while watching a popular film on a big screen set against the backdrop of the Stellenbosch mountains, under the stars.
Movie Line-up:
14 February: Pretty Woman
24 March: Tailor of Panama
28 April: Austin Powers: International Man of Mystery

 
 
Tel: 021 809 1100
Email: info@spier.co.za
Website: www.spier.co.za
Facebook: spierwinefarm
Twitter: spierwinefarm
 
 SEE WHAT ELSE IS ON IN THE CAPE WINELANDS & BEYOND

 "
6,R30 | U18s R15 | Concessions R15,17 February 2018 to 29 April 2018,10am to 5pm,El Anatsui at SA National Gallery,"Iziko South African National Gallery, Government Ave, Company’s Garden, Cape Town","The Iziko South African National Gallery hosts Meyina, the first solo exhibition of El Anatsui – one of the most influential contemporary artists working today – in South Africa.
Over the past four decades, Anatsui has created a body of work that has expanded the language of contemporary sculpture in Africa and internationally. Composed of crumpled pieces of metal bound together with copper wire, the exhibition showcases the artist’s recent large-scale sculptural installations, which read like intricate tapestries.
The works engage with and comment on African history, post-colonial conditions, as well as daily realities and experiences on the continent. Archival objects, exhibition plans, letters and other documents augment the works, offering a rare glimpse into the artist’s creative process. This exhibition is presented in partnership with the Goodman Gallery, curated by Olabisi Silva.
Tel: 021 467 7234
Email: ewhite@iziko.org.za
Website: www.iziko.org.za
Facebook: IzikoMuseums
Twitter: Iziko_Museums
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
7,Cost: R150 to R180,14 to 14 April 2018,Time: 8pm to 10pm,Trio Esperanza: CT Concert Series,"Baxter Theatre, 1 Main Road, Rondebosch, Cape Town","Trio Esperanza presents a concert featuring Liesl Stoltz on flute, Polina Burdakova on cello and Kerryn Wisniewski on piano. The concert marks the trio’s first performance for the Cape Town Concert Series and the programme includes works by Weber, Gaubert and Kapustin.
Email: info@ctconcerts.co.za
Website: www.ctconcerts.co.za
 "
8,Cost: R150 – R470,7 March 2018 to 1 April 2018,"8pm | Wed 14 Mar again at 3pm | Sat again at 4pm | Sun 2pm, 6pm",West Side Story,"Artscape Theatre, Artscape Theatre Centre, D.F. Malan St, Foreshore, Cape Town","The award-winning creative team behind the Fugard Theatre’s productions of The Rocky Horror Show and Cabaret bring the multiple award-winning musical back to Cape Town after it’s run at the Mandela Theatre in Johannesburg.
Due to overwhelming popular demand, West Side Story will be back in the Mother City from March 2018 and now features a full, live orchestra.
West Side Story is set on the harsh streets of the Upper West Side neighbourhood of New York City in the mid-1950s and is inspired by William Shakespeare’s tragic, ageless tale of Romeo and Juliet. Rival gangs, the Sharks and the Jets, battle in a turf-war to gain control of the neighbourhood. It gets complicated and tensions rise when Tony, a former member of the Jets and best friend of the gang leader, Riff, falls in love with Maria, the sister of Bernardo who is the leader of the Sharks.

 
 
Tel: 021 421 7839
Website: www.artscape.co.za
Facebook: Artscape Theatre
Twitter: ArtscapeTheatre
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
9,R130 – R230,27 March 2018 to 21 April 2018,Time: 8pm | Sat again at 4pm,The Road to Mecca,"The Fugard Theatre, Cnr Caledon & Lower Buitenkant St, Cape Town","Eric Abraham presents The Road to Mecca, a Fugard Theatre production, written by Athol Fugard in 1984.
The play is inspired by Helen Martins, who lived in Nieu-Bethesda and created the now-famous The Owl House – which is designated a provincial site. The Road to Mecca is the story of a woman’s desire for personal and artistic freedom within the narrow confines of a conservative and highly religious community in the Karoo in early seventies Apartheid South Africa.
The Road to Mecca stars Sandra Prinsloo (So Ry Miss Daisy, The Gods Must Be Crazy), Marius Weyers (The Eulogists, Hamlet) and Emily Child (The Eulogists, The Pervert Laura).
‘To present this classic Athol Fugard play at the renowned Fugard Theatre is any director’s dream. Yet, maybe a local equivalent of producing Shakespeare at the Globe, it is also a task accompanied by myriad pressures.’ Read our review of a previous play by Athol Fugard performed at the Fugard Theatre.

 
 
Tel: 021 461 4554
Website: www.thefugard.com
Facebook: The Fugard Theatre
Twitter: @TheFugard
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL"
