,Cost,Date-range,Time,Title,Venue,event_text
0,Cost: Free Entrance,14 February 2018 to 14 April 2018,Time: Mon to Fri 9am to 6pm | Sat 10am to 2pm,Extra Ordinary: Southern Guild,"Guild, Shop 5B, Silo 5, V&A Waterfront, Cape Town","Southern Guild presents a multidisciplinary group exhibition in celebration of its tenth anniversary. The gallery is known for pioneering collectable design in South Africa and has invited a selection of makers to produce exploratory new design work that crosses over into other disciplines, materials and technologies.
Exhibitors include fashion designer Rich Mnisi, ceramic artists Zizipho Poswa and Madoda Fani, sculptors Daniella Mooney and Stanislaw Trzebinski, and newcomers such as 3D illustrator Ferdi B. Dick. Julian McGowan, co-founder of The Guild Group, has provided mentorship and guidance to each designer during the process of creating work for the exhibition and the result is an innovative selection of furniture, lighting, sculpture, jewellery and more.
‘Heavy Metal remains a challenging exhibition. Exploratory design propels the commonplace into the realms of the conceptually complex. At its best, the work at the Foundry is a salient reminder of the astonishing qualities that saturate both raw materials and elements of utility.’ Read Alice Meyer’s review of a previous exhibition at Southern Guild.
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
1,Free entry,3 to 3 February 2018,11am to late,SA National Beer Day at Beerhouse,"Beerhouse on Long, 223 Long St, CBD, Cape Town","Beerhouse on Long celebrates the second South African National Beer Day with 50% off their #DrinkLocal tasting tray and a free Beer Tasting with their local brewers at scheduled time slots.
The #DrinkLocal tasting tray is made up of 6 x 120ml beers from breweries that are within 20km of Beerhouse.
The SAN Beer Day is a collection of small scale events, promotions, pairings, specials and mini festivals held across the country on the first Saturday in February.
Website: beerday.co.za
Facebook: SANBeerDay
Twitter: SANBeerDay
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
2,Cost: Free Entrance,8 to 8 February 2018,5pm to 9pm,Montebello Night Market,"Montebello Design Centre, 31 Newlands Avenue, Newlands, Cape Town","Montebello Design Centre presents a night market where guests are invited to peruse and purchase products created by local craftspeople. Along with the market, the event Montebello’s studios are open and there is live music and workshops and activities appropriate for all ages.
Email: montebello@telkomsa.net
Website: www.montebello.co.za
Facebook: Montebello Design Centre
 "
3,,28 to 28 January 2018,,Jazz in the Native Yards: Mandisi Dyantyis,,"Jazz in the Native Yards presents Mandisi Dyantyis in concert, preceded by the UCT Ensemble who will open with a selection of interpretations of Dyantyis’ compositions. Thereafter, Dyantyis takes the stage joined by top Cape jazz musicians; Mark Fransman on piano, Buddy Wells on saxophones, bass player Sean Sanby and Andre Swartz on drums.
Dyantyis uses music to explore issues of identity; finding what it means to be a Xhosa man at a time when issues of patriarchy are most debated.
Mandisi is a trumpeter, composer, and arranger. His works range from the directing of the Isango Ensemble (Man of Good Hope 2016-2017) and other theatre productions, through his personal trumpet performing, to his now lecturing position at the University of Cape Town.
‘…a quaint venue in the historic township of Gugulethu. The space proved homely and intimate with a roaring fire outside over which bubbled some traditional potjiekos.’ Read our review of a previous Jazz in the Native Yards event.
Venue: Kwa Sec Ny 138 no. 52, Gugulethu, Cape Town
Time: 4pm to 6.30pm
Cost: R50 to R80
Tel: 060 960 8935
Email: luvuyo@cpo.org.za
Facebook: The Mandisi Dyantyis & UCT Ensemble live at Kwa Sec
SEE WHAT ELSE IS ON IN CAPE TOWN NORTH
 "
4,Free,18 January 2018 to 10 March 2018,Time: Opening night 6pm to 8pm | Mon – Fri 9am to 5pm | Sat 10am to 1pm,Kemang Wa Lehulere @ Stevenson Gallery,"Stevenson Gallery, Buchanan Building, 160 Sir Lowry Rd, Woodstock, Cape Town","Stevenson presents Here I am, a concrete man, throwing himself into abstraction a solo exhibition by Kemang Wa Lehulere.
Using sculpture, installation and drawing, Wa Lehulere continues his questioning of historical narratives while exploring new formal possibilities. In Here I am, a concrete man, throwing himself into abstraction, taken from a line in his father’s journal, Wa Lehulere expands his visual vocabulary. Wood is deconstructed and singed; metal is reconstituted and glass is weighted as the artists exploits familiar materials to create unexpected objects.
Wa Lehulere recently won the Malcolm McLaren Award presented by Performa for his work I Cut My Skin to Liberate the Splinter. The prize is bestowed in recognition of artists who stage ‘an innovative and thought-provoking performance’ during the New York-based biennial.
A walkabout of the exhibition, with the artist, takes place on Friday 19 January at 10am. Entrance is free and all are welcome.
Tel: 021 462 1500
Email: cpt@stevenson.info
Website: www.stevenson.info
Facebook: Stevenson.Gallery
Twitter: Stevenson_ZA
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL"
5,Cost: R220 Single | R320 Couples,3 to 3 February 2018,Time: 11am to 7pm,Signal Gun Rosé and MCC Festival,"Signal Gun Wines, Hooggelegen Rd, Durbanville, Cape Town","Signal Gun Wines and Abuzz Wines present a Rosé & MCC Festival including wine and beer tastings, live music and food trucks in collaboration with top Cape wine estates. The estates include Stellenbosch’s L’Avenir, Paarl’s D’aria, Cederberg Wines, Groot Constantia and many more. Live music is also on offer and each ticket includes a branded stemless glass and 10 tasting vouchers.
SEE WHAT ELSE IS ON IN CAPE TOWN NORTH
 "
6,R150 (bookings via phone or email),9 to 9 February 2018,8pm to 9pm,Christopher Duigan at Casa Labia,"Casa Labia, 192 Main Rd, Muizenberg, Cape Town","Casa Labia hosts an evening of classical music with pianist Christopher Duigan, who performs the music of French-Polish pianist and composer, Frédéric Chopin.
This programme includes a selection of the composer’s music: The Ballade No. 1, Scherzo No. 2 and nocturnes, etudes, mazurkas and waltzes. Duigan also offers the insight he gained into Chopin’s life and music while on a trip to Warsaw, Poland and the Chopin Museum in 2015.
Duigan, a Steinway Artist, has devoted much time to the study and performance of Chopin’s music in his professional career over the last 25 years and was invited to give two recital programmes of the composer’s music at the National Arts Festival in Grahamstown in 2010 on the 200th anniversary of the composer’s birth.
Tel: 021 788 6068
Email: events@casalabia.co.za
Website: www.casalabia.co.za
Facebook: casalabia
Twitter: CasaLabia
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
7,R130,4 to 4 February 2018,6.30am to 9am | Run starts 7.30,Durbanville Hills Trail Run,"Durbanville Hills, Tygerberg Valley Rd, Cape Farms, Cape Town","Durbanville Hills hosts its annual Trail Run in support of the Farm Workers’ Trust, a fund which aims to improve the quality of life for employees and their children on the winery and the surrounding farms.
The route follows a 7km path suitable for all levels and each entry includes a bottle of wine as well as an entry into the lucky draw. The restaurant is open after the run for those who would like to have breakfast and the tasting room is also open from 11am.
SEE WHAT ELSE IS ON IN CAPE TOWN NORTH
 "
8,Cost: R70 to R150,10 to 10 February 2018,Time: 10.30,Heart FM Cape Town Music Festival,"PPC Newlands Cricket Ground, 146 Campground Rd, Newlands, Cape Town","Heart FM presents day festival featuring top local artists in various genres in a diverse event to suit the whole family. Among the artists are award-winning Hip Hop artist AKA and longstanding Afropop group, Mango Groove. Leading pop artist Jimmy Nevis and Afrikaans alternative rockers Die Heuwels Fantasties are joined by R&B singer Chad Saaiman and Dr Victor & the Rasta Rebels and more.
 "
9,Free Entrance,13 February 2018 to 29 March 2018,Mon to Fri 9am to 5pm | Sat 10am to 2pm,Gallery MOMO: Cape to Tehran,"Gallery MOMO, 170 Buitengracht St, Cape Town City Centre, Cape Town","Gallery MOMO presents a group exhibition titled Cape to Tehran, which aims to imagine and re-imagine personal history in post-Apartheid South Africa and post-revolutionary Iran. The exhibition is curated by Sepideh Mehraban who is a contemporary artist traveling between Iran and South Africa, and was awarded her MFA from Michaelis School of Fine Art. Along with her own work, the group show features artists such as Kamran Adl, Svea Josephy, Sethembile Msezane, Rowan Smith and many more.
Website: www.gallerymomo.com
Facebook: Gallery MOMO SA
Twitter: @GalleryMOMO
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
10,Cost: Free Entrance,30 January 2018 to 6 March 2018,Time: 9am to 5pm Monday to Friday,New Romantics: Barnard Gallery,"55 Main Street, Newlands, Cape Town","The Barnard Gallery presents the New Romantics, a group exhibition which focuses on a romantic turn in contemporary art. The artists include Capetonian contemporaries and mid-career artists from Johannesburg, all preoccupied with the area where nature, science and the sublime converge under the banner of romanticism.
Artists included in the New Romantics exhibition are Alexia Vogel, Heidi Fourie, Sarah Biggs, Rosie Mudge and more.
Email: gallery@barnardgallery.com
Website: www.barnardgallery.com
Facebook: Barnard
 "
