,Cost,Date-range,Time,Title,Venue,event_text
0,R80 to R95,31 January 2018 to 8 February 2018,8pm,When Swallows Cry,"Baxter Theatre Centre, Main Rd, Rondebosch, Cape Town","Mike van Graan’s When Swallows Cry is a hard-hitting trilogy of playlets that explores the inequities and layered complexities of contemporary global mobility, particularly from African perspectives. Once forced to “migrate” as slaves, Africans are now among the world’s least attractive migrants in the wealthy economies of the world, many built – not insubstantially – on African labour and mineral resources.
The play interweaves three scenarios, set in African or about African migrants and refugees.  Directed by Lesedi Job, the talented cast includes Mbulelo Grootboom, Marty Kintu and Kai Luke Brummer. Norwegian Theatre Company Ibsen International commissioned seven playwrights to create works which tackle the contentious issues of migration and the refugee crisis, and When Swallows Cry is one of the resultant pieces, developed by van Graan alongside playwrights from Europe, China, America and Russia.
 "
1,Free,18 January 2018 to 10 March 2018,Time: Opening night 6pm to 8pm | Mon – Fri 9am to 5pm | Sat 10am to 1pm,Kemang Wa Lehulere @ Stevenson Gallery,"Stevenson Gallery, Buchanan Building, 160 Sir Lowry Rd, Woodstock, Cape Town","Stevenson presents Here I am, a concrete man, throwing himself into abstraction a solo exhibition by Kemang Wa Lehulere.
Using sculpture, installation and drawing, Wa Lehulere continues his questioning of historical narratives while exploring new formal possibilities. In Here I am, a concrete man, throwing himself into abstraction, taken from a line in his father’s journal, Wa Lehulere expands his visual vocabulary. Wood is deconstructed and singed; metal is reconstituted and glass is weighted as the artists exploits familiar materials to create unexpected objects.
Wa Lehulere recently won the Malcolm McLaren Award presented by Performa for his work I Cut My Skin to Liberate the Splinter. The prize is bestowed in recognition of artists who stage ‘an innovative and thought-provoking performance’ during the New York-based biennial.
A walkabout of the exhibition, with the artist, takes place on Friday 19 January at 10am. Entrance is free and all are welcome.
Tel: 021 462 1500
Email: cpt@stevenson.info
Website: www.stevenson.info
Facebook: Stevenson.Gallery
Twitter: Stevenson_ZA
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL"
2,R100,,Fridays 4pm,Pink Summer Soirées,"Radisson Blu Hotel, 22 Riebeek St, Cape Town","The Ghibli Bar at Radisson Blu Hotel presents a weekly gin-themed summer soirée. Gin & tonics are served on the pool terrace as the sun sets over the inner city.
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL"
3,R150 to R180,27 to 27 January 2018,8pm to 10pm,Mozart Winds: CT Concert Series,"Baxter Concert Hall, 2 Main Rd, Rondebosch, Cape Town","Following the UCT Summer School’s Magic of Mozart, the Cape Town Concert Series opens it’s 2018 season with Mozart Winds, focussing on wind ensembles, vocal and choral music. This music is rarely featured on the concert series stage and the performers include a number of rising stars amongst the young music professionals including Sally Minter, Stephanie Lawrenson, Pearl Jung, Johan Ferreira, Visser Liebenberg, Charl van de Merwe, Shannon Thebus, Sigrid Ceunen, Caron Tremble & VOX Cape Town.
The programme includes Flute Quartet in D, Wind Octet in Eb major, Laudate Dominum, Ave Verum Corpus and more.
Email: info@ctconcerts.co.za
Website: www.ctconcerts.co.za
 "
4,Free,25 January 2018 to 10 February 2018,Time: Tue to Fri 10am to 5pm | Sat 10am to 2pm,StateoftheART: The Marks we Make,"Venue: 50 Buitenkant St, CBD, Cape Town","
StateoftheART gallery presents a group exhibition of mixed media works by local artists entitled The Marks we Make. Artists include Liffey Joy, Karla Nixon, Jeannie Kinsler, Jodi Hugo, Shui-Lyn White and more.

Mark making is a term used to describe the different lines, patterns, and textures used to create a piece of art. It applies to any art material on any surface, not only paint on canvas or pencil on paper. A dot made with a pencil, a line created with a pen, a swirl painted with a brush – or paper cutting. These are all types of mark making.

‘The Marks We Make’ brings together StateoftheART artists in an exhibition which explores memory, feelings, folds, layers, stories, and colour.

Read about StateoftheART Contemporary.
Email: info@stateoftheart-gallery.com
Website: www.stateoftheart-gallery.com
Facebook:  galleryStateoftheART
Twitter: JenniferatSOTA
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
5,Cost: Free Entrance,30 January 2018 to 6 March 2018,Time: 9am to 5pm Monday to Friday,New Romantics: Barnard Gallery,"55 Main Street, Newlands, Cape Town","The Barnard Gallery presents the New Romantics, a group exhibition which focuses on a romantic turn in contemporary art. The artists include Capetonian contemporaries and mid-career artists from Johannesburg, all preoccupied with the area where nature, science and the sublime converge under the banner of romanticism.
Artists included in the New Romantics exhibition are Alexia Vogel, Heidi Fourie, Sarah Biggs, Rosie Mudge and more.
Email: gallery@barnardgallery.com
Website: www.barnardgallery.com
Facebook: Barnard
 "
6,R30 | U18s R15 | Concessions R15,22 September 2017 to 31 March 2018,10am to 5pm,Derek Bauer Illustrations at Iziko,"Iziko South African National Gallery, Government Ave, Company’s Garden, Cape Town","Derek Bauer’s critical cartooning works, Alternative Press, Works by Derek Bauer, reignites thought at Iziko. Cartoons have a long history of impacting society, and this exhibition, showcasing his original works and celebrating him as one of South Africa’s finest cartoonists, is no different.
Bauer became known for his provocative cartoons, mostly portraying the apartheid government, politicians and prominent figures of the time. The materials included in the exhibition span the period from 1985 to 1993. The cartoons provide recollections of SA during the turbulent 1980’s. It also portrays the unbanning of political parties such as the African National Congress (ANC), the release of political prisoners, and captures the negotiations which would eventually result in the country’s first democratic elections.
While theses illustrations reflect a dark time in the country’s history, much of it can still be seen as relevant today. Bauer’s art influenced the early works of Zapiro and Brandon Reynolds, whose cartoons are also presented as a contemporary capsule within the exhibition. These artworks have remained untouched for more than a decade after the artist’s death on 16 December 2001. This poignant tribute documents key moments in SA’s political history, and is geared to encourage contemporary conversations.
Tel: 021 481 3800
Email: info@iziko.org.za
Website: www.iziko.org.za
Facebook: IzikoMuseums
Twitter: Iziko_Museums
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
7,R89 – R175,31 October 2017 to 27 April 2018,Time: 6pm | Sat 5pm | Sun 4pm,The Galileo Open Air Cinema,Various,"The Galileo Open Air Cinema is back again with a variety of movie favourites under a ceiling of stars in some of Cape Town’s most popular venues.
This year’s line-up includes old classics and new favourites, such as Grease, Dirty Dancing, Pretty Woman, Titanic, Finding Dory, Moana, Deadpool, Beauty and The Beast (2017) and more. Before the film begins at sunsets, a festive mini-market serves food, soft drinks, alcoholic beverages, coffee and popcorn.
See full line-up here.
Open Air Venues:
Tuesdays: Bloemendal Wine Estate, Durbanville
Wednesdays: Kirstenbosch Gardens, Newlands
Thursdays: V&A Waterfront, Foreshore
Fridays: Various rotating venues, Cape Town
Select Saturdays: Various wine estates, Cape Winelands
Select family Sundays: Kelvin Grove Club, Newlands

 
 
Tel: 071 471 8728
Email: hello@thegalileo.co.za
Website: thegalileo.co.za
Facebook: GalileoCinema
Twitter: Galileo_Cinema
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
SEE WHAT ELSE IS ON IN CAPE TOWN NORTH
 SEE WHAT ELSE IS ON IN THE CAPE WINELANDS & BEYOND

 "
8,R137.50 | Children R67.50,1 November 2017 to 28 February 2018,6pm to 8pm,Table Mountain Cableway Sunset Special,"Table Mountain Aerial Cableway Station, Tafelberg Rd, Oranjezicht, Cape Town","The Table Mountain Cableway offers a Sunset Special during Cape Town’s summer months.
Guests experience an African sunset from the top of one of the world’s 7 Wonders of Nature by taking a cable car to the mountain’s summit. The Sunset Special offers the opportunity to capture a beautiful picture from the top of Table Mountain during the summer’s longer days and balmy evenings.
Tickets are half-price after 6pm. The special is available to South Africans with valid SA IDs only. Guests are not advised to use the free park-and-ride MyCiTi bus service for the Sunset Special as the service runs until 7pm only.
The special excludes dates 18 December 2017 to 3 January 2018.

 
 
Tel: 021 424 0015
Email: info@tablemountain.net
Website: www.tablemountain.net
Facebook: TableMountainCa
Twitter: TableMountainCa
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
9,Free entrance,20 November 2017 to 20 February 2018,Mon to Fri 9.30am to 5pm | Sat 9.30am to 1pm,Eclectica: Divergent Tides,"Venue: Eclectica Gallery, 179 Buitengracht St, Gardens","
Eclectica presents a group exhibition featuring works by Leila Fanner, Asuka Nirasawa and Lars J Fischedick among others. The works are themed around the idea of holding up a mirror to the self, creatively navigating issues by way of confronting difficulties through art.
What sets Eclectica apart from the many minimalist contemporary galleries in Cape Town is the combination of art and carefully selected furniture. Read Bronwyn-Leigh Knox’s review of a previous group show at Eclectica.
Website: www.eclecticadesignandart.co.za
Facebook: Divergent Tides
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL"
10,R170,25 November 2017 to 24 February 2018,5pm to 8pm,Comedy in the Vines,"Spier Wine Farm, R310 Lynedoch Rd, Stellenbosch","Spier Wine Farm presents its Comedy in the Vines series featuring four of South Africa’s top comedians. Guests enjoy an evening of laughs, some wine and a summer picnic on the grass, under the stars.
Line-up:
– 25 November: Schalk Bezuidenhout
– 23 December: Barry Hilton
– 23 January: Stuart Taylor
– 24 February: Marc Lottering

 
 
Tel: 021 809 1100
Email: info@spier.co.za
Website: www.spier.co.za
Facebook: spierwinefarm
Twitter: spierwinefarm
 
 SEE WHAT ELSE IS ON IN THE CAPE WINELANDS & BEYOND

 "
