,Cost,Date-range,Time,Title,Venue,event_text
0,Cost: R150 to R220,,11.30am until late,Woordfees: Centenary Concert,"Coetzenburg Stadium, Stellenbosch","Woordfees presents a centenary concert featuring the US Jazz Band, J’Something and Mi Casa and a special Centenary Band with guest appearances by Laurika Rauch, Coenie de Villiers and Valiant Swart. The award-winning soprano, Minette du Toit-Pearce also visits the stage along with Heavenly Quartez, Brandon October and 30 young violinists from the Ronnie Samaai Music Education Project.
 SEE WHAT ELSE IS ON IN THE CAPE WINELANDS & BEYOND
 

 "
1,R145 – R160,,7pm to 9.30pm,CTYC: Handel’s Messiah,"Jameson Hall, Residence Rd, UCT Upper Campus, Rosebank, Cape Town","The Cape Town Youth Choir and Junges Vokalensemble Hannover perform Handel’s Messiah, one of the most performed oratorios in the history of sacred music.
South African tenor, Levy Sekgapane, first prize winner of Placido Domingo’s prestigious Operalia 2017 competition, makes his Messiah debut in the role of the evangelist. Completing the line-up of soloists are well-known soprano Magdalene Minnaar, Minette du Toit Pearce (mezzo) and Bongani Kubheka (bass).
The orchestra is led by Suzanne Martens, with Erik Dippenaar on the harpsichord.

Tel: 079 894 5393
Email: info@ctyc.co.za
Website: www.ctyc.co.za
Facebook: CapeTownYouthChoir
Twitter: capetownchoir
 "
2,Cost: R100 – R140,20 to 29 March 2018,8.30pm,Nik Rabinowitz in “Working Title”,"Venue: Golden Arrow Studio, Baxter Theatre Centre, Main Rd, Rondebosch, Cape Town","The Baxter presents South African comedian, Nik Rabinowitz’s new stand-up comedy show, Working Title. 
Audiences are entertained for an hour by Rabinowitz’s new material. He would love to say more about the show, but the thing is, he can’t, because he has not written it yet.
Age restriction: No under 14’s.
“Rabinowitz’s comedy is original and witty, but he does also tackle that fount of SA comedy: politics.” Read Luvuyo Mncanca’s review of Nik Rabinowitz.
 

 
 
Tel: 021 685 7880
Email: leon.vanzyl@uct.ac.za
Website: www.baxter.co.za
Facebook: baxtertheatre
Twitter: baxtertheatre
 "
3,,29 March 2018 to 4 April 2018,,KKNK Afrikaans Arts Festival 2018,"Oudtshoorn, Western Cape","
Annual Afrikaans arts festival which takes place at various venues in Oudtshoorn in the Western Cape."
4,Free,18 January 2018 to 10 March 2018,Time: Opening night 6pm to 8pm | Mon – Fri 9am to 5pm | Sat 10am to 1pm,Kemang Wa Lehulere @ Stevenson Gallery,"Stevenson Gallery, Buchanan Building, 160 Sir Lowry Rd, Woodstock, Cape Town","Stevenson presents Here I am, a concrete man, throwing himself into abstraction a solo exhibition by Kemang Wa Lehulere.
Using sculpture, installation and drawing, Wa Lehulere continues his questioning of historical narratives while exploring new formal possibilities. In Here I am, a concrete man, throwing himself into abstraction, taken from a line in his father’s journal, Wa Lehulere expands his visual vocabulary. Wood is deconstructed and singed; metal is reconstituted and glass is weighted as the artists exploits familiar materials to create unexpected objects.
Wa Lehulere recently won the Malcolm McLaren Award presented by Performa for his work I Cut My Skin to Liberate the Splinter. The prize is bestowed in recognition of artists who stage ‘an innovative and thought-provoking performance’ during the New York-based biennial.
A walkabout of the exhibition, with the artist, takes place on Friday 19 January at 10am. Entrance is free and all are welcome.
Tel: 021 462 1500
Email: cpt@stevenson.info
Website: www.stevenson.info
Facebook: Stevenson.Gallery
Twitter: Stevenson_ZA
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL"
5,Cost: Free Entrance,30 January 2018 to 6 March 2018,Time: 9am to 5pm Monday to Friday,New Romantics: Barnard Gallery,"55 Main Street, Newlands, Cape Town","The Barnard Gallery presents the New Romantics, a group exhibition which focuses on a romantic turn in contemporary art. The artists include Capetonian contemporaries and mid-career artists from Johannesburg, all preoccupied with the area where nature, science and the sublime converge under the banner of romanticism.
Artists included in the New Romantics exhibition are Alexia Vogel, Heidi Fourie, Sarah Biggs, Rosie Mudge and more.
Email: gallery@barnardgallery.com
Website: www.barnardgallery.com
Facebook: Barnard
 "
6,R350,17 to 17 March 2018,5.30pm to 10pm,The Long Table @ d’Olyfboom Family Estate,"d’Olyfboom Conference & Wedding Venue, 14 Napier Street, Paarl","
d’Olyfboom presents an annual fundraising evening where guests are invited to dine at the long table among the vineyards. Live music is played by Jan Hendrik Fourie of the Jimm Harrison project and each ticket includes a welcome drink, a three-course meal and table wine. Guests are invited to partake in lawn games and bid in the silent auction that takes place on the evening.
Email: info@dolyfboom.co.za
Website: www.dolyfboom.co.za
Facebook: d’Olyfboom Family Estate
 SEE WHAT ELSE IS ON IN THE CAPE WINELANDS & BEYOND
 

 "
7,Free Entrance,13 February 2018 to 29 March 2018,Mon to Fri 9am to 5pm | Sat 10am to 2pm,Gallery MOMO: Cape to Tehran,"Gallery MOMO, 170 Buitengracht St, Cape Town City Centre, Cape Town","Gallery MOMO presents a group exhibition titled Cape to Tehran, which aims to imagine and re-imagine personal history in post-Apartheid South Africa and post-revolutionary Iran. The exhibition is curated by Sepideh Mehraban who is a contemporary artist traveling between Iran and South Africa, and was awarded her MFA from Michaelis School of Fine Art. Along with her own work, the group show features artists such as Kamran Adl, Svea Josephy, Sethembile Msezane, Rowan Smith and many more.
Website: www.gallerymomo.com
Facebook: Gallery MOMO SA
Twitter: @GalleryMOMO
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
8, Cost: From R395,6 to 6 March 2017,TBC,Myles Kennedy – Acoustic Showcase,"Grand Arena, Grand West, 1 Jakes Gerwel Drive, Goodwood, Cape Town","
Myles Kennedy, of Alter Bridge fame, presents an acoustic showcase which features stripped down versions of his beloved songs. Kennedy shares the stories behind the rock anthems that raised him to fame as well as detailing the highlights of his musical journey.
Alter Bridge first entered the music scene with the album One Day Remains, which was certified Gold. Millions of additional records were sold worldwide over the course of the five studio albums which followed.
Facebook: Myles Kennedy
Twitter: @MylesKennedy
 
 
SEE WHAT ELSE IS ON IN CAPE TOWN NORTH
 
"
9,Cost: R144 – R180,13 February 2018 to 3 March 2018,7.30pm,The Inconvenience of Wings,"Venue: Golden Arrow Studio, Baxter Theatre Centre, Main Rd, Rondebosch, Cape Town","The Baxter presents acclaimed writer and director, Lara Foot’s The Inconvenience of Wings, a play that brings bi-polar disorder and friendships into the spotlight.
Inspired by author Abraham J Twerski’s book Addictive Thinking, this production is set in a landscape of memory and dreams, and tackles the issues of friendship, dysfunction, addiction and angels. Sara has been diagnosed with bi-polar disorder; she is compulsive, alive and hates women who know how to make cupcakes. Andrew, her husband, is on a mission to find a cure for her afflictions and Professor James quietly tries to save Andrew from the inconvenience of his wings.
“The Inconvenience of Wings is a precious, honest, witty, well-informed, raw, pure piece of South African theatre.” Read Thola Antamu’s review of The Inconvenience of Wings.

 
 
Tel: 021 685 7880
Email: leon.vanzyl@uct.ac.za
Website: www.baxter.co.za
Facebook: baxtertheatre
Twitter: baxtertheatre
 "
